m,gap
-3.500000000000000000e+00,3.003354846239312259e+00
-3.429292929292929504e+00,2.862006966295374433e+00
-3.358585858585858563e+00,2.720665972992851067e+00
-3.287878787878788067e+00,2.579332998444137104e+00
-3.217171717171717127e+00,2.438009437206571484e+00
-3.146464646464646631e+00,2.296697026979741096e+00
-3.075757575757575690e+00,2.155397961015704578e+00
-3.005050505050505194e+00,2.014115047793331392e+00
-2.934343434343434254e+00,1.872851942874343756e+00
-2.863636363636363757e+00,1.731613494083675153e+00
-2.792929292929292817e+00,1.590406270309866255e+00
-2.722222222222222321e+00,1.449239398847893767e+00
-2.651515151515151381e+00,1.308125943664777413e+00
-2.580808080808080884e+00,1.167085280769372346e+00
-2.510101010101010388e+00,1.026147425798058732e+00
-2.439393939393939448e+00,8.853614771036943942e-01
-2.368686868686868507e+00,7.448135804282078887e-01
-2.297979797979798011e+00,6.046697551764402823e-01
-2.227272727272727515e+00,4.652952555569240811e-01
-2.156565656565656575e+00,3.276732452401742157e-01
-2.085858585858585634e+00,1.955396513049694474e-01
-2.015151515151515138e+00,9.538172572620320921e-02
-1.944444444444444420e+00,1.412639754372842782e-01
-1.873737373737373701e+00,2.661001065275627187e-01
-1.803030303030303205e+00,4.020683292867171521e-01
-1.732323232323232487e+00,5.408368838389645550e-01
-1.661616161616161769e+00,6.806952675093816962e-01
-1.590909090909091050e+00,8.210867665980822183e-01
-1.520202020202020332e+00,9.617779515767220788e-01
-1.449494949494949392e+00,1.102654114752009029e+00
-1.378787878787878896e+00,1.243652396855227771e+00
-1.308080808080807955e+00,1.384735494746837769e+00
-1.237373737373737459e+00,1.525879882364133078e+00
-1.166666666666666963e+00,1.667069992285623581e+00
-1.095959595959596022e+00,1.808295114669781434e+00
-1.025252525252525526e+00,1.949547640628923162e+00
-9.545454545454545858e-01,1.911151575764091337e+00
-8.838383838383840896e-01,1.769821634303785141e+00
-8.131313131313131493e-01,1.628506311850730137e+00
-7.424242424242426530e-01,1.487209775724128713e+00
-6.717171717171717127e-01,1.345937942501419737e+00
-6.010101010101012164e-01,1.204699502740951944e+00
-5.303030303030302761e-01,1.063507760915468836e+00
-4.595959595959597799e-01,9.223841617972258211e-01
-3.888888888888888395e-01,7.813656283233243460e-01
-3.181818181818183433e-01,6.405215586532860828e-01
-2.474747474747474030e-01,4.999994078576123213e-01
-1.767676767676769067e-01,3.601761616210731876e-01
-1.060606060606064105e-01,2.223741120859467624e-01
-3.535353535353547016e-02,9.575772990069371382e-02
3.535353535353502608e-02,9.425899813414591322e-02
1.060606060606059664e-01,2.204447627106830010e-01
1.767676767676764626e-01,3.581940073028623273e-01
2.474747474747474030e-01,4.980019268161467449e-01
3.181818181818178992e-01,6.385176662718921037e-01
3.888888888888888395e-01,7.793584669160980027e-01
4.595959595959593358e-01,9.203751129567301348e-01
5.303030303030302761e-01,1.061497525164433187e+00
6.010101010101012164e-01,1.202688472587193802e+00
6.717171717171712686e-01,1.343926354768671949e+00
7.424242424242422089e-01,1.485197781702257469e+00
8.131313131313131493e-01,1.626494012681448442e+00
8.838383838383840896e-01,1.767809100154112301e+00
9.545454545454541417e-01,1.909138856833251463e+00
1.025252525252525082e+00,1.949494949494949836e+00
1.095959595959596022e+00,1.808080808080807955e+00
1.166666666666666075e+00,1.666666666666667851e+00
1.237373737373737015e+00,1.525252525252525970e+00
1.308080808080807955e+00,1.383838383838384090e+00
1.378787878787878896e+00,1.242424242424242209e+00
1.449494949494948948e+00,1.101010101010102105e+00
1.520202020202019888e+00,9.595959595959602240e-01
1.590909090909090828e+00,8.181818181818183433e-01
1.661616161616161769e+00,6.767676767676764626e-01
1.732323232323231821e+00,5.353535353535363583e-01
1.803030303030302761e+00,3.939393939393944777e-01
1.873737373737373701e+00,2.525252525252525970e-01
1.944444444444444642e+00,1.111111111111107164e-01
2.015151515151514694e+00,3.030303030302938794e-02
2.085858585858585634e+00,1.717171717171712686e-01
2.156565656565656575e+00,3.131313131313131493e-01
2.227272727272726627e+00,4.545454545454532536e-01
2.297979797979797567e+00,5.959595959595951342e-01
2.368686868686868507e+00,7.373737373737370149e-01
2.439393939393939448e+00,8.787878787878788955e-01
2.510101010101009500e+00,1.020202020202019000e+00
2.580808080808080440e+00,1.161616161616160880e+00
2.651515151515151381e+00,1.303030303030302761e+00
2.722222222222222321e+00,1.444444444444444642e+00
2.792929292929292373e+00,1.585858585858584746e+00
2.863636363636363313e+00,1.727272727272726627e+00
2.934343434343434254e+00,1.868686868686868507e+00
3.005050505050505194e+00,2.010101010101010388e+00
3.075757575757575246e+00,2.151515151515150492e+00
3.146464646464646187e+00,2.292929292929292373e+00
3.217171717171717127e+00,2.434343434343434254e+00
3.287878787878787179e+00,2.575757575757574358e+00
3.358585858585858119e+00,2.717171717171716239e+00
3.429292929292929060e+00,2.858585858585858119e+00
3.500000000000000000e+00,3.000000000000000000e+00
