gamma,delta_pt
0.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000021e-02,5.000999900019995614e-01
2.000000000000000042e-02,5.003998401278721975e-01
2.999999999999999889e-02,5.008991914547274993e-01
4.000000000000000083e-02,5.015974481593781231e-01
5.000000000000000278e-02,5.024937810560444751e-01
5.999999999999999778e-02,5.035871324805669680e-01
7.000000000000000666e-02,5.048762224545735311e-01
8.000000000000000167e-02,5.063595560468860945e-01
8.999999999999999667e-02,5.080354318352214849e-01
1.000000000000000056e-01,5.099019513592785158e-01
1.100000000000000006e-01,5.119570294468079874e-01
1.199999999999999956e-01,5.141984052872976552e-01
1.300000000000000044e-01,5.166236541235795787e-01
1.400000000000000133e-01,5.192301994298865742e-01
1.499999999999999944e-01,5.220153254455275338e-01
1.600000000000000033e-01,5.249761899362674900e-01
1.700000000000000122e-01,5.281098370604356829e-01
1.799999999999999933e-01,5.314132102234569999e-01
1.900000000000000022e-01,5.348831648126533000e-01
2.000000000000000111e-01,5.385164807134503739e-01
2.099999999999999922e-01,5.423098745182499680e-01
2.200000000000000011e-01,5.462600113499063159e-01
2.300000000000000100e-01,5.503635162326805386e-01
2.399999999999999911e-01,5.546169849544816399e-01
2.500000000000000000e-01,5.590169943749472292e-01
2.600000000000000089e-01,5.635601121442148642e-01
2.700000000000000178e-01,5.682429058070148642e-01
2.800000000000000266e-01,5.730619512757759715e-01
2.899999999999999800e-01,5.780088262485417738e-01
2.999999999999999889e-01,5.827394817962845419e-01
3.099999999999999978e-01,5.870213965402484302e-01
3.200000000000000067e-01,5.909588856347868235e-01
3.300000000000000155e-01,5.942943706140204618e-01
3.400000000000000244e-01,5.972962257442052669e-01
3.500000000000000333e-01,6.000016477544406479e-01
3.599999999999999867e-01,6.021065306260479089e-01
3.699999999999999956e-01,6.040343758234447691e-01
3.800000000000000044e-01,6.054433762230452265e-01
3.900000000000000133e-01,6.064430720181049894e-01
4.000000000000000222e-01,6.075354042051316350e-01
4.100000000000000311e-01,6.074541383623734969e-01
4.199999999999999845e-01,6.075226550205624632e-01
4.299999999999999933e-01,6.075016788231205611e-01
4.400000000000000022e-01,6.063195605877116368e-01
4.500000000000000111e-01,6.052797405372025707e-01
4.600000000000000200e-01,6.043965450939252637e-01
4.700000000000000289e-01,6.022176223690025587e-01
4.799999999999999822e-01,5.998662954108825440e-01
4.899999999999999911e-01,5.976548143370614685e-01
5.000000000000000000e-01,5.956018609158590937e-01
5.100000000000000089e-01,5.917646915237096961e-01
5.200000000000000178e-01,5.879776385436354946e-01
5.300000000000000266e-01,5.843140968533150348e-01
5.400000000000000355e-01,5.807981718570195406e-01
5.500000000000000444e-01,5.763641802378399737e-01
5.600000000000000533e-01,5.707971774621465322e-01
5.700000000000000622e-01,5.653080108827728267e-01
5.799999999999999600e-01,5.599262749110955895e-01
5.899999999999999689e-01,5.546849245793338268e-01
5.999999999999999778e-01,5.492219406346918742e-01
6.099999999999999867e-01,5.414344617690296513e-01
6.199999999999999956e-01,5.336523674184836530e-01
6.300000000000000044e-01,5.259122286551467518e-01
6.400000000000000133e-01,5.182574742760203135e-01
6.500000000000000222e-01,5.107392940749969634e-01
6.600000000000000311e-01,5.034174966206328428e-01
6.700000000000000400e-01,4.935576027062222870e-01
6.800000000000000488e-01,4.824569606682482248e-01
6.900000000000000577e-01,4.712415987077692159e-01
7.000000000000000666e-01,4.599681748310676110e-01
7.099999999999999645e-01,4.487130272214108762e-01
7.199999999999999734e-01,4.375776307702448631e-01
7.299999999999999822e-01,4.266948844508376415e-01
7.399999999999999911e-01,4.162357044904651526e-01
7.500000000000000000e-01,4.011387583737136553e-01
7.600000000000000089e-01,3.834447103954058966e-01
7.700000000000000178e-01,3.650122287790756315e-01
7.800000000000000266e-01,3.458775355348068792e-01
7.900000000000000355e-01,3.261649110876232993e-01
8.000000000000000444e-01,3.061732706008535310e-01
8.100000000000000533e-01,2.865379895087575290e-01
8.200000000000000622e-01,2.684996005967782984e-01
8.300000000000000711e-01,2.542041295356182729e-01
8.399999999999999689e-01,2.465695133067180578e-01
8.499999999999999778e-01,2.350979672816225774e-01
8.599999999999999867e-01,2.061352304188216189e-01
8.699999999999999956e-01,1.792954395463599304e-01
8.800000000000000044e-01,1.431197002424170195e-01
8.900000000000000133e-01,1.047217452393377352e-01
9.000000000000000222e-01,8.390696727507757080e-02
9.100000000000000311e-01,1.550495256907345465e-01
9.200000000000000400e-01,1.711689038735581814e-01
9.300000000000000488e-01,2.066249148620305787e-01
9.400000000000000577e-01,2.384771869768485542e-01
9.500000000000000666e-01,2.226821034696793433e-01
9.599999999999999645e-01,1.831220540072503178e-01
9.699999999999999734e-01,1.242307857263766496e-01
9.799999999999999822e-01,9.981949732372726036e-02
9.899999999999999911e-01,1.644399687497623830e-01
1.000000000000000000e+00,2.047114496651278870e-01
